x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	Md(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
702000	3523000	140	25724.3	3.3548e+00	0.746	5.8955e-07	1.7240e-04	2.0456e-04	1.5909e-02	2.4815e+00	8.4612e-01	1.0819e-02	3.2432e-05	1.2085e-08	5.1789e-13
703000	3523000	216	26661.1	2.8052e+00	0.775	5.8717e-07	1.2453e-04	1.6235e-04	1.4306e-02	2.1525e+00	6.3096e-01	7.1267e-03	1.8829e-05	5.7991e-09	1.8817e-13
704000	3523000	237	27602.3	2.2948e+00	0.800	6.0160e-07	1.0514e-04	1.5619e-04	1.2912e-02	1.8129e+00	4.6405e-01	4.6775e-03	1.0911e-05	2.7802e-09	6.8289e-14
705000	3523000	226	28547.5	1.8353e+00	0.820	6.1099e-07	1.0531e-04	2.0314e-04	1.1600e-02	1.4830e+00	3.3726e-01	3.0563e-03	6.3029e-06	1.3297e-09	2.4729e-14
706000	3523000	242	29496.3	1.4553e+00	0.838	6.2317e-07	9.0375e-05	2.1032e-04	1.0946e-02	1.1993e+00	2.4276e-01	1.9766e-03	3.5996e-06	6.2822e-10	8.8378e-15
707000	3523000	324	30448.4	1.1567e+00	0.858	6.3782e-07	6.1517e-05	1.6416e-04	1.1227e-02	9.7039e-01	1.7357e-01	1.2622e-03	2.0237e-06	2.9154e-10	3.0967e-15
708000	3523000	279	31403.5	8.7685e-01	0.871	6.4213e-07	7.0455e-05	2.6147e-04	1.0221e-02	7.4276e-01	1.2273e-01	8.0859e-04	1.1476e-06	1.3700e-10	1.1024e-15
709000	3523000	365	32361.3	6.7995e-01	0.888	6.5427e-07	4.4501e-05	1.9084e-04	1.0659e-02	5.8197e-01	8.6579e-02	5.0903e-04	6.3552e-07	6.2586e-11	3.8012e-16
710000	3523000	296	33321.6	4.9750e-01	0.898	6.5373e-07	5.8832e-05	3.4558e-04	9.3215e-03	4.2724e-01	6.0216e-02	3.2165e-04	3.5585e-07	2.9063e-11	1.3383e-16
711000	3523000	278	34284.2	3.6496e-01	0.911	6.6035e-07	5.7486e-05	4.1028e-04	8.4684e-03	3.1414e-01	4.1673e-02	2.0092e-04	1.9645e-07	1.3282e-11	4.6298e-17
