i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
257	30407.1592	-12628.2691	708370.1592	3519534.7309	10034214.4053	3.5322e+02
258	30503.1963	-12656.1419	708466.1963	3519506.8581	10034214.4053	3.3996e+02
259	30599.2333	-12684.0146	708562.2333	3519478.9854	10034214.4053	3.2719e+02
260	30695.2703	-12711.8873	708658.2703	3519451.1127	10034214.4053	3.1491e+02
261	30791.3074	-12739.7601	708754.3074	3519423.2399	10034214.4053	3.0309e+02
262	30887.3444	-12767.6328	708850.3444	3519395.3672	10034214.4053	2.9171e+02
263	30983.3814	-12795.5055	708946.3814	3519367.4945	10034214.4053	2.8076e+02
264	31079.4184	-12823.3782	709042.4184	3519339.6218	10034214.4053	2.7023e+02
265	31175.4555	-12851.2510	709138.4555	3519311.7490	10034214.4053	2.6009e+02
266	31271.4925	-12879.1237	709234.4925	3519283.8763	10034214.4053	2.5033e+02
267	31367.5295	-12906.9964	709330.5295	3519256.0036	10034214.4053	2.4094e+02
268	31463.5666	-12934.8692	709426.5666	3519228.1308	10034214.4053	2.3190e+02
269	31559.6036	-12962.7419	709522.6036	3519200.2581	10034214.4053	2.2321e+02
270	31655.6406	-12990.6146	709618.6406	3519172.3854	10034214.4053	2.1484e+02
271	31751.6776	-13018.4874	709714.6776	3519144.5126	10034214.4053	2.0678e+02
272	31847.7147	-13046.3601	709810.7147	3519116.6399	10034214.4053	1.9903e+02
273	31943.7517	-13074.2328	709906.7517	3519088.7672	10034214.4053	1.9157e+02
274	32039.7887	-13102.1055	710002.7887	3519060.8945	10034214.4053	1.8439e+02
275	32135.8258	-13129.9783	710098.8258	3519033.0217	10034214.4053	1.7748e+02
276	32231.8628	-13157.8510	710194.8628	3519005.1490	10034214.4053	1.7083e+02
277	32327.8998	-13185.7237	710290.8998	3518977.2763	10034214.4053	1.6443e+02
278	32423.9369	-13213.5965	710386.9369	3518949.4035	10034214.4053	1.5827e+02
279	32519.9739	-13241.4692	710482.9739	3518921.5308	10034214.4053	1.5234e+02
280	32616.0109	-13269.3419	710579.0109	3518893.6581	10034214.4053	1.4664e+02
281	32712.0479	-13297.2146	710675.0479	3518865.7854	10034214.4053	1.4115e+02
282	32808.0850	-13325.0874	710771.0850	3518837.9126	10034214.4053	1.3586e+02
283	32904.1220	-13352.9601	710867.1220	3518810.0399	10034214.4053	1.3077e+02
284	33000.1590	-13380.8328	710963.1590	3518782.1672	10034214.4053	1.2588e+02
285	33096.1961	-13408.7056	711059.1961	3518754.2944	10034214.4053	1.2117e+02
286	33192.2331	-13436.5783	711155.2331	3518726.4217	10034214.4053	1.1663e+02
287	33288.2701	-13464.4510	711251.2701	3518698.5490	10034214.4053	1.1227e+02
288	33384.3071	-13492.3238	711347.3071	3518670.6762	10034214.4053	1.0807e+02
289	33480.3442	-13520.1965	711443.3442	3518642.8035	10034214.4053	1.0402e+02
290	33576.3812	-13548.0692	711539.3812	3518614.9308	10034214.4053	1.0013e+02
291	33672.4182	-13575.9419	711635.4182	3518587.0581	10034214.4053	9.6387e+01
292	33768.4553	-13603.8147	711731.4553	3518559.1853	10034214.4053	9.2782e+01
293	33864.4923	-13631.6874	711827.4923	3518531.3126	10034214.4053	8.9312e+01
294	33960.5293	-13659.5601	711923.5293	3518503.4399	10034214.4053	8.5973e+01
295	34056.5663	-13687.4329	712019.5663	3518475.5671	10034214.4053	8.2758e+01
296	34152.6034	-13715.3056	712115.6034	3518447.6944	10034214.4053	7.9664e+01
297	34248.6404	-13743.1783	712211.6404	3518419.8217	10034214.4053	7.6687e+01
298	34344.6774	-13771.0510	712307.6774	3518391.9490	10034214.4053	7.3820e+01
299	34440.7145	-13798.9238	712403.7145	3518364.0762	10034214.4053	7.1062e+01
300	34536.7515	-13826.7965	712499.7515	3518336.2035	10034214.4053	6.8406e+01
301	34632.7885	-13854.6692	712595.7885	3518308.3308	10034214.4053	6.5850e+01
302	34728.8255	-13882.5420	712691.8255	3518280.4580	10034214.4053	6.3390e+01
303	34824.8626	-13910.4147	712787.8626	3518252.5853	10034214.4053	6.1022e+01
304	34920.8996	-13938.2874	712883.8996	3518224.7126	10034214.4053	5.8743e+01
305	35016.9366	-13966.1602	712979.9366	3518196.8398	10034214.4053	5.6549e+01
306	35112.9737	-13994.0329	713075.9737	3518168.9671	10034214.4053	5.4437e+01
307	35209.0107	-14021.9056	713172.0107	3518141.0944	10034214.4053	5.2405e+01
308	35305.0477	-14049.7783	713268.0477	3518113.2217	10034214.4053	5.0448e+01
309	35401.0848	-14077.6511	713364.0848	3518085.3489	10034214.4053	4.8565e+01
310	35497.1218	-14105.5238	713460.1218	3518057.4762	10034214.4053	4.6752e+01
311	35593.1588	-14133.3965	713556.1588	3518029.6035	10034214.4053	4.5007e+01
312	35689.1958	-14161.2693	713652.1958	3518001.7307	10034214.4053	4.3327e+01
313	35785.2329	-14189.1420	713748.2329	3517973.8580	10034214.4053	4.1711e+01
314	35881.2699	-14217.0147	713844.2699	3517945.9853	10034214.4053	4.0154e+01
315	35977.3069	-14244.8874	713940.3069	3517918.1126	10034214.4053	3.8656e+01
316	36073.3440	-14272.7602	714036.3440	3517890.2398	10034214.4053	3.7214e+01
317	36169.3810	-14300.6329	714132.3810	3517862.3671	10034214.4053	3.5826e+01
318	36265.4180	-14328.5056	714228.4180	3517834.4944	10034214.4053	3.4490e+01
319	36361.4550	-14356.3784	714324.4550	3517806.6216	10034214.4053	3.3204e+01
320	36457.4921	-14384.2511	714420.4921	3517778.7489	10034214.4053	3.1966e+01
