s	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
886	1809.1914	2567.0225	3564.0639	4833.6545	6390.7410	8218.1551	10251.7629	12368.2145	14380.9315	16050.9584
887	1808.1107	2565.2612	3561.2551	4829.2789	6384.0962	8208.3403	10237.7001	12348.7276	14354.9073	16017.5974
888	1807.0307	2563.5012	3558.4485	4824.9073	6377.4582	8198.5373	10223.6565	12329.2714	14328.9301	15984.3057
889	1805.9513	2561.7423	3555.6441	4820.5397	6370.8272	8188.7459	10209.6323	12309.8458	14303.0000	15951.0832
890	1804.8726	2559.9847	3552.8420	4816.1760	6364.2031	8178.9663	10195.6272	12290.4509	14277.1168	15917.9298
891	1803.7945	2558.2283	3550.0420	4811.8163	6357.5858	8169.1983	10181.6414	12271.0865	14251.2805	15884.8453
892	1802.7170	2556.4731	3547.2442	4807.4605	6350.9754	8159.4420	10167.6748	12251.7527	14225.4908	15851.8295
893	1801.6402	2554.7190	3544.4487	4803.1087	6344.3719	8149.6973	10153.7273	12232.4492	14199.7479	15818.8824
894	1800.5641	2552.9662	3541.6553	4798.7608	6337.7753	8139.9643	10139.7989	12213.1763	14174.0516	15786.0037
895	1799.4886	2551.2146	3538.8642	4794.4168	6331.1855	8130.2428	10125.8897	12193.9336	14148.4017	15753.1934
896	1798.4137	2549.4642	3536.0752	4790.0768	6324.6026	8120.5331	10111.9996	12174.7213	14122.7983	15720.4513
897	1797.3395	2547.7150	3533.2885	4785.7407	6318.0265	8110.8349	10098.1285	12155.5393	14097.2412	15687.7772
898	1796.2659	2545.9670	3530.5039	4781.4085	6311.4572	8101.1482	10084.2764	12136.3875	14071.7303	15655.1710
899	1795.1930	2544.2202	3527.7216	4777.0802	6304.8948	8091.4732	10070.4433	12117.2658	14046.2657	15622.6326
900	1794.1207	2542.4746	3524.9414	4772.7559	6298.3392	8081.8097	10056.6292	12098.1743	14020.8471	15590.1619
901	1793.0490	2540.7301	3522.1634	4768.4355	6291.7904	8072.1577	10042.8341	12079.1129	13995.4745	15557.7586
902	1791.9780	2538.9869	3519.3876	4764.1189	6285.2485	8062.5173	10029.0578	12060.0815	13970.1478	15525.4226
903	1790.9076	2537.2449	3516.6140	4759.8063	6278.7133	8052.8884	10015.3005	12041.0801	13944.8669	15493.1539
904	1789.8378	2535.5041	3513.8426	4755.4976	6272.1849	8043.2710	10001.5620	12022.1086	13919.6318	15460.9523
905	1788.7687	2533.7644	3511.0734	4751.1928	6265.6634	8033.6651	9987.8424	12003.1670	13894.4424	15428.8176
906	1787.7003	2532.0260	3508.3063	4746.8919	6259.1485	8024.0706	9974.1416	11984.2553	13869.2985	15396.7496
