i	x	y	z	R
407	2454.0365	-1468.8239	3901.2941	2350.7274
408	2462.8328	-1472.1166	3904.7267	2354.4622
409	2471.6346	-1475.4065	3908.1481	2358.1870
410	2480.4418	-1478.6935	3911.5581	2361.9018
411	2489.2544	-1481.9777	3914.9568	2365.6066
412	2498.0725	-1485.2590	3918.3443	2369.3014
413	2506.8959	-1488.5375	3921.7205	2372.9862
414	2515.7247	-1491.8131	3925.0855	2376.6610
415	2524.5588	-1495.0859	3928.4392	2380.3257
416	2533.3982	-1498.3558	3931.7817	2383.9805
417	2542.2429	-1501.6229	3935.1130	2387.6251
418	2551.0928	-1504.8872	3938.4331	2391.2598
419	2559.9480	-1508.1486	3941.7420	2394.8843
420	2568.8084	-1511.4072	3945.0398	2398.4989
421	2577.6739	-1514.6630	3948.3264	2402.1033
422	2586.5447	-1517.9160	3951.6018	2405.6978
423	2595.4205	-1521.1661	3954.8662	2409.2821
424	2604.3015	-1524.4134	3958.1194	2412.8564
425	2613.1875	-1527.6579	3961.3616	2416.4206
426	2622.0786	-1530.8996	3964.5927	2419.9747
427	2630.9747	-1534.1384	3967.8127	2423.5187
428	2639.8759	-1537.3745	3971.0217	2427.0527
429	2648.7820	-1540.6078	3974.2196	2430.5765
430	2657.6931	-1543.8383	3977.4065	2434.0903
431	2666.6091	-1547.0659	3980.5824	2437.5940
432	2675.5301	-1550.2908	3983.7473	2441.0876
433	2684.4559	-1553.5129	3986.9012	2444.5710
434	2693.3867	-1556.7323	3990.0442	2448.0444
435	2702.3222	-1559.9488	3993.1762	2451.5077
436	2711.2626	-1563.1626	3996.2973	2454.9608
437	2720.2078	-1566.3736	3999.4075	2458.4038
438	2729.1578	-1569.5818	4002.5067	2461.8368
439	2738.1125	-1572.7873	4005.5951	2465.2596
440	2747.0719	-1575.9900	4008.6725	2468.6722
441	2756.0361	-1579.1900	4011.7391	2472.0748
442	2765.0049	-1582.3872	4014.7949	2475.4672
443	2773.9784	-1585.5817	4017.8398	2478.8496
444	2782.9566	-1588.7734	4020.8739	2482.2217
445	2791.9394	-1591.9624	4023.8972	2485.5838
446	2800.9267	-1595.1487	4026.9097	2488.9357
447	2809.9187	-1598.3322	4029.9113	2492.2775
448	2818.9151	-1601.5130	4032.9023	2495.6092
449	2827.9162	-1604.6911	4035.8824	2498.9308
450	2836.9217	-1607.8665	4038.8519	2502.2422
451	2845.9317	-1611.0392	4041.8106	2505.5434
452	2854.9461	-1614.2092	4044.7586	2508.8346
453	2863.9651	-1617.3765	4047.6959	2512.1156
454	2872.9884	-1620.5410	4050.6225	2515.3864
455	2882.0161	-1623.7029	4053.5384	2518.6472
456	2891.0482	-1626.8621	4056.4437	2521.8978
457	2900.0847	-1630.0187	4059.3383	2525.1382
458	2909.1254	-1633.1725	4062.2223	2528.3685
459	2918.1705	-1636.3237	4065.0957	2531.5887
460	2927.2199	-1639.4723	4067.9584	2534.7988
461	2936.2736	-1642.6181	4070.8106	2537.9987
462	2945.3315	-1645.7614	4073.6522	2541.1885
463	2954.3936	-1648.9019	4076.4832	2544.3681
464	2963.4599	-1652.0398	4079.3037	2547.5376
465	2972.5304	-1655.1751	4082.1137	2550.6970
466	2981.6051	-1658.3078	4084.9131	2553.8462
467	2990.6839	-1661.4378	4087.7020	2556.9853
468	2999.7668	-1664.5652	4090.4804	2560.1143
469	3008.8539	-1667.6900	4093.2483	2563.2331
470	3017.9450	-1670.8122	4096.0058	2566.3418
471	3027.0402	-1673.9318	4098.7528	2569.4404
472	3036.1394	-1677.0488	4101.4893	2572.5288
473	3045.2426	-1680.1632	4104.2154	2575.6071
474	3054.3498	-1683.2750	4106.9311	2578.6753
475	3063.4611	-1686.3842	4109.6364	2581.7334
476	3072.5762	-1689.4909	4112.3313	2584.7813
477	3081.6953	-1692.5950	4115.0159	2587.8191
478	3090.8183	-1695.6965	4117.6900	2590.8468
479	3099.9453	-1698.7954	4120.3538	2593.8644
480	3109.0760	-1701.8918	4123.0073	2596.8718
481	3118.2107	-1704.9857	4125.6504	2599.8691
482	3127.3492	-1708.0770	4128.2832	2602.8564
483	3136.4915	-1711.1658	4130.9058	2605.8335
484	3145.6376	-1714.2521	4133.5180	2608.8004
485	3154.7875	-1717.3358	4136.1199	2611.7573
486	3163.9411	-1720.4170	4138.7116	2614.7041
487	3173.0985	-1723.4958	4141.2931	2617.6407
488	3182.2596	-1726.5720	4143.8643	2620.5673
489	3191.4244	-1729.6457	4146.4252	2623.4837
490	3200.5929	-1732.7169	4148.9760	2626.3900
491	3209.7651	-1735.7857	4151.5165	2629.2863
492	3218.9409	-1738.8520	4154.0469	2632.1724
493	3228.1203	-1741.9158	4156.5671	2635.0485
494	3237.3033	-1744.9771	4159.0771	2637.9144
495	3246.4899	-1748.0360	4161.5770	2640.7703
496	3255.6801	-1751.0924	4164.0667	2643.6161
497	3264.8738	-1754.1464	4166.5463	2646.4518
498	3274.0711	-1757.1979	4169.0158	2649.2774
499	3283.2719	-1760.2470	4171.4752	2652.0929
500	3292.4762	-1763.2937	4173.9245	2654.8983
501	3301.6839	-1766.3380	4176.3637	2657.6937
502	3310.8951	-1769.3799	4178.7929	2660.4790
503	3320.1098	-1772.4193	4181.2120	2663.2542
504	3329.3278	-1775.4564	4183.6210	2666.0194
505	3338.5493	-1778.4910	4186.0201	2668.7744
506	3347.7741	-1781.5233	4188.4091	2671.5195
507	3357.0024	-1784.5532	4190.7881	2674.2544
508	3366.2339	-1787.5808	4193.1571	2676.9793
509	3375.4688	-1790.6060	4195.5161	2679.6942
510	3384.7070	-1793.6288	4197.8652	2682.3990
511	3393.9485	-1796.6492	4200.2043	2685.0937
512	3403.1933	-1799.6674	4202.5334	2687.7784
513	3412.4413	-1802.6832	4204.8527	2690.4530
514	3421.6926	-1805.6966	4207.1619	2693.1177
515	3430.9471	-1808.7078	4209.4613	2695.7722
516	3440.2048	-1811.7166	4211.7508	2698.4168
517	3449.4657	-1814.7231	4214.0304	2701.0513
518	3458.7298	-1817.7274	4216.3001	2703.6757
519	3467.9970	-1820.7293	4218.5600	2706.2902
520	3477.2674	-1823.7289	4220.8100	2708.8946
521	3486.5409	-1826.7263	4223.0501	2711.4890
522	3495.8175	-1829.7214	4225.2804	2714.0734
523	3505.0971	-1832.7143	4227.5009	2716.6478
524	3514.3799	-1835.7049	4229.7116	2719.2121
525	3523.6657	-1838.6932	4231.9125	2721.7665
526	3532.9545	-1841.6793	4234.1036	2724.3109
527	3542.2463	-1844.6632	4236.2849	2725.1923
528	3551.5411	-1847.6450	4238.4564	2727.7183
529	3560.8389	-1850.6248	4240.6180	2730.2355
530	3570.1395	-1853.6027	4242.7697	2732.7440
531	3579.4431	-1856.5786	4244.9115	2735.2437
532	3588.7496	-1859.5526	4247.0433	2737.7344
533	3598.0590	-1862.5247	4249.1651	2740.2162
534	3607.3713	-1865.4948	4251.2770	2742.6890
535	3616.6865	-1868.4629	4253.3787	2745.1527
536	3626.0045	-1871.4292	4255.4703	2747.6072
537	3635.3255	-1874.3936	4257.5519	2750.0525
538	3644.6493	-1877.3560	4259.6232	2752.4885
539	3653.9759	-1880.3166	4261.6844	2754.9151
