i	x	y	z	R
390	35915.1926	-11258.7754	4449.4779	2997.8611
391	36011.2296	-11286.6481	4449.4779	2997.8611
392	36107.2666	-11314.5209	4449.4779	2997.8611
393	36203.3037	-11342.3936	4449.4779	2997.8611
394	36299.3407	-11370.2663	4449.4779	2997.8611
395	36395.3777	-11398.1391	4449.4779	2997.8611
396	36491.4148	-11426.0118	4449.4779	2997.8611
397	36587.4518	-11453.8845	4449.4779	2997.8611
398	36683.4888	-11481.7572	4449.4779	2997.8611
399	36779.5258	-11509.6300	4449.4779	2997.8611
400	36875.5629	-11537.5027	4449.4779	2997.8611
401	36971.5999	-11565.3754	4449.4779	2997.8611
402	37067.6369	-11593.2482	4449.4779	2997.8611
403	37163.6740	-11621.1209	4449.4779	2997.8611
404	37259.7110	-11648.9936	4449.4779	2997.8611
405	37355.7480	-11676.8663	4449.4779	2997.8611
406	37451.7851	-11704.7391	4449.4779	2997.8611
407	37547.8221	-11732.6118	4449.4779	2997.8611
408	37643.8591	-11760.4845	4449.4779	2997.8611
409	37739.8961	-11788.3573	4449.4779	2997.8611
410	37835.9332	-11816.2300	4449.4779	2997.8611
411	37931.9702	-11844.1027	4449.4779	2997.8611
412	38028.0072	-11871.9755	4449.4779	2997.8611
413	38124.0443	-11899.8482	4449.4779	2997.8611
414	38220.0813	-11927.7209	4449.4779	2997.8611
415	38316.1183	-11955.5936	4449.4779	2997.8611
416	38412.1553	-11983.4664	4449.4779	2997.8611
417	38508.1924	-12011.3391	4449.4779	2997.8611
418	38604.2294	-12039.2118	4449.4779	2997.8611
419	38700.2664	-12067.0846	4449.4779	2997.8611
420	38796.3035	-12094.9573	4449.4779	2997.8611
421	38892.3405	-12122.8300	4449.4779	2997.8611
422	38988.3775	-12150.7028	4449.4779	2997.8611
423	39084.4145	-12178.5755	4449.4779	2997.8611
424	39180.4516	-12206.4482	4449.4779	2997.8611
425	39276.4886	-12234.3209	4449.4779	2997.8611
426	39372.5256	-12262.1937	4449.4779	2997.8611
427	39468.5627	-12290.0664	4449.4779	2997.8611
428	39564.5997	-12317.9391	4449.4779	2997.8611
429	39660.6367	-12345.8119	4449.4779	2997.8611
430	39756.6737	-12373.6846	4449.4779	2997.8611
431	39852.7108	-12401.5573	4449.4779	2997.8611
432	39948.7478	-12429.4300	4449.4779	2997.8611
433	40044.7848	-12457.3028	4449.4779	2997.8611
434	40140.8219	-12485.1755	4449.4779	2997.8611
435	40236.8589	-12513.0482	4449.4779	2997.8611
436	40332.8959	-12540.9210	4449.4779	2997.8611
437	40428.9330	-12568.7937	4449.4779	2997.8611
438	40524.9700	-12596.6664	4449.4779	2997.8611
439	40621.0070	-12624.5392	4449.4779	2997.8611
440	40717.0440	-12652.4119	4449.4779	2997.8611
441	40813.0811	-12680.2846	4449.4779	2997.8611
442	40909.1181	-12708.1573	4449.4779	2997.8611
443	41005.1551	-12736.0301	4449.4779	2997.8611
444	41101.1922	-12763.9028	4449.4779	2997.8611
445	41197.2292	-12791.7755	4449.4779	2997.8611
446	41293.2662	-12819.6483	4449.4779	2997.8611
447	41389.3032	-12847.5210	4449.4779	2997.8611
448	41485.3403	-12875.3937	4449.4779	2997.8611
449	41581.3773	-12903.2664	4449.4779	2997.8611
450	41677.4143	-12931.1392	4449.4779	2997.8611
451	41773.4514	-12959.0119	4449.4779	2997.8611
452	41869.4884	-12986.8846	4449.4779	2997.8611
453	41965.5254	-13014.7574	4449.4779	2997.8611
454	42061.5624	-13042.6301	4449.4779	2997.8611
455	42157.5995	-13070.5028	4449.4779	2997.8611
456	42253.6365	-13098.3756	4449.4779	2997.8611
457	42349.6735	-13126.2483	4449.4779	2997.8611
458	42445.7106	-13154.1210	4449.4779	2997.8611
459	42541.7476	-13181.9937	4449.4779	2997.8611
460	42637.7846	-13209.8665	4449.4779	2997.8611
461	42733.8217	-13237.7392	4449.4779	2997.8611
462	42829.8587	-13265.6119	4449.4779	2997.8611
463	42925.8957	-13293.4847	4449.4779	2997.8611
464	43021.9327	-13321.3574	4449.4779	2997.8611
465	43117.9698	-13349.2301	4449.4779	2997.8611
466	43214.0068	-13377.1028	4449.4779	2997.8611
467	43310.0438	-13404.9756	4449.4779	2997.8611
468	43406.0809	-13432.8483	4449.4779	2997.8611
469	43502.1179	-13460.7210	4449.4779	2997.8611
470	43598.1549	-13488.5938	4449.4779	2997.8611
471	43694.1919	-13516.4665	4449.4779	2997.8611
472	43790.2290	-13544.3392	4449.4779	2997.8611
473	43886.2660	-13572.2120	4449.4779	2997.8611
474	43982.3030	-13600.0847	4449.4779	2997.8611
475	44078.3401	-13627.9574	4449.4779	2997.8611
476	44174.3771	-13655.8301	4449.4779	2997.8611
477	44270.4141	-13683.7029	4449.4779	2997.8611
478	44366.4511	-13711.5756	4449.4779	2997.8611
479	44462.4882	-13739.4483	4449.4779	2997.8611
480	44558.5252	-13767.3211	4449.4779	2997.8611
481	44654.5622	-13795.1938	4449.4779	2997.8611
482	44750.5993	-13823.0665	4449.4779	2997.8611
483	44846.6363	-13850.9392	4449.4779	2997.8611
484	44942.6733	-13878.8120	4449.4779	2997.8611
485	45038.7103	-13906.6847	4449.4779	2997.8611
486	45134.7474	-13934.5574	4449.4779	2997.8611
487	45230.7844	-13962.4302	4449.4779	2997.8611
488	45326.8214	-13990.3029	4449.4779	2997.8611
489	45422.8585	-14018.1756	4449.4779	2997.8611
490	45518.8955	-14046.0484	4449.4779	2997.8611
491	45614.9325	-14073.9211	4449.4779	2997.8611
492	45710.9696	-14101.7938	4449.4779	2997.8611
493	45807.0066	-14129.6665	4449.4779	2997.8611
494	45903.0436	-14157.5393	4449.4779	2997.8611
495	45999.0806	-14185.4120	4449.4779	2997.8611
496	46095.1177	-14213.2847	4449.4779	2997.8611
497	46191.1547	-14241.1575	4449.4779	2997.8611
498	46287.1917	-14269.0302	4449.4779	2997.8611
499	46383.2288	-14296.9029	4449.4779	2997.8611
500	46479.2658	-14324.7756	4449.4779	2997.8611
501	46575.3028	-14352.6484	4449.4779	2997.8611
502	46671.3398	-14380.5211	4449.4779	2997.8611
503	46767.3769	-14408.3938	4449.4779	2997.8611
504	46863.4139	-14436.2666	4449.4779	2997.8611
505	46959.4509	-14464.1393	4449.4779	2997.8611
506	47055.4880	-14492.0120	4449.4779	2997.8611
507	47151.5250	-14519.8848	4449.4779	2997.8611
508	47247.5620	-14547.7575	4449.4779	2997.8611
509	47343.5990	-14575.6302	4449.4779	2997.8611
510	47439.6361	-14603.5029	4449.4779	2997.8611
511	47535.6731	-14631.3757	4449.4779	2997.8611
512	47631.7101	-14659.2484	4449.4779	2997.8611
513	47727.7472	-14687.1211	4449.4779	2997.8611
514	47823.7842	-14714.9939	4449.4779	2997.8611
515	47919.8212	-14742.8666	4449.4779	2997.8611
516	48015.8583	-14770.7393	4449.4779	2997.8611
517	48111.8953	-14798.6120	4449.4779	2997.8611
518	48207.9323	-14826.4848	4449.4779	2997.8611
