i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
272	36974.5398	-16564.2902	714937.5398	3515598.7098	10751179.9985	3.9581e+04
273	37070.5768	-16592.1629	715033.5768	3515570.8371	10751179.9985	3.8671e+04
274	37166.6139	-16620.0356	715129.6139	3515542.9644	10751179.9985	3.7782e+04
275	37262.6509	-16647.9084	715225.6509	3515515.0916	10751179.9985	3.6914e+04
276	37358.6879	-16675.7811	715321.6879	3515487.2189	10751179.9985	3.6066e+04
277	37454.7249	-16703.6538	715417.7249	3515459.3462	10751179.9985	3.5238e+04
278	37550.7620	-16731.5266	715513.7620	3515431.4734	10751179.9985	3.4429e+04
279	37646.7990	-16759.3993	715609.7990	3515403.6007	10751179.9985	3.3639e+04
280	37742.8360	-16787.2720	715705.8360	3515375.7280	10751179.9985	3.2867e+04
281	37838.8731	-16815.1448	715801.8731	3515347.8552	10751179.9985	3.2114e+04
282	37934.9101	-16843.0175	715897.9101	3515319.9825	10751179.9985	3.1377e+04
283	38030.9471	-16870.8902	715993.9471	3515292.1098	10751179.9985	3.0658e+04
284	38126.9841	-16898.7629	716089.9841	3515264.2371	10751179.9985	2.9956e+04
285	38223.0212	-16926.6357	716186.0212	3515236.3643	10751179.9985	2.9270e+04
286	38319.0582	-16954.5084	716282.0582	3515208.4916	10751179.9985	2.8600e+04
287	38415.0952	-16982.3811	716378.0952	3515180.6189	10751179.9985	2.7945e+04
288	38511.1323	-17010.2539	716474.1323	3515152.7461	10751179.9985	2.7306e+04
289	38607.1693	-17038.1266	716570.1693	3515124.8734	10751179.9985	2.6681e+04
290	38703.2063	-17065.9993	716666.2063	3515097.0007	10751179.9985	2.6071e+04
291	38799.2433	-17093.8720	716762.2433	3515069.1280	10751179.9985	2.5475e+04
292	38895.2804	-17121.7448	716858.2804	3515041.2552	10751179.9985	2.4893e+04
293	38991.3174	-17149.6175	716954.3174	3515013.3825	10751179.9985	2.4325e+04
294	39087.3544	-17177.4902	717050.3544	3514985.5098	10751179.9985	2.3769e+04
295	39183.3915	-17205.3630	717146.3915	3514957.6370	10751179.9985	2.3227e+04
296	39279.4285	-17233.2357	717242.4285	3514929.7643	10751179.9985	2.2696e+04
297	39375.4655	-17261.1084	717338.4655	3514901.8916	10751179.9985	2.2179e+04
298	39471.5026	-17288.9812	717434.5026	3514874.0188	10751179.9985	2.1673e+04
299	39567.5396	-17316.8539	717530.5396	3514846.1461	10751179.9985	2.1179e+04
300	39663.5766	-17344.7266	717626.5766	3514818.2734	10751179.9985	2.0696e+04
301	39759.6136	-17372.5993	717722.6136	3514790.4007	10751179.9985	2.0224e+04
302	39855.6507	-17400.4721	717818.6507	3514762.5279	10751179.9985	1.9764e+04
303	39951.6877	-17428.3448	717914.6877	3514734.6552	10751179.9985	1.9314e+04
304	40047.7247	-17456.2175	718010.7247	3514706.7825	10751179.9985	1.8874e+04
305	40143.7618	-17484.0903	718106.7618	3514678.9097	10751179.9985	1.8444e+04
306	40239.7988	-17511.9630	718202.7988	3514651.0370	10751179.9985	1.8025e+04
307	40335.8358	-17539.8357	718298.8358	3514623.1643	10751179.9985	1.7615e+04
308	40431.8728	-17567.7084	718394.8728	3514595.2916	10751179.9985	1.7214e+04
309	40527.9099	-17595.5812	718490.9099	3514567.4188	10751179.9985	1.6823e+04
310	40623.9469	-17623.4539	718586.9469	3514539.5461	10751179.9985	1.6441e+04
311	40719.9839	-17651.3266	718682.9839	3514511.6734	10751179.9985	1.6067e+04
312	40816.0210	-17679.1994	718779.0210	3514483.8006	10751179.9985	1.5702e+04
313	40912.0580	-17707.0721	718875.0580	3514455.9279	10751179.9985	1.5346e+04
314	41008.0950	-17734.9448	718971.0950	3514428.0552	10751179.9985	1.4997e+04
315	41104.1320	-17762.8176	719067.1320	3514400.1824	10751179.9985	1.4657e+04
316	41200.1691	-17790.6903	719163.1691	3514372.3097	10751179.9985	1.4324e+04
317	41296.2061	-17818.5630	719259.2061	3514344.4370	10751179.9985	1.3999e+04
318	41392.2431	-17846.4357	719355.2431	3514316.5643	10751179.9985	1.3682e+04
319	41488.2802	-17874.3085	719451.2802	3514288.6915	10751179.9985	1.3372e+04
320	41584.3172	-17902.1812	719547.3172	3514260.8188	10751179.9985	1.3069e+04
