=== LOC DEBUG ===
494: 70837.000000 17837.000000 0.000000
495: 71037.000000 17837.000000 0.000000
496: 71237.000000 17837.000000 0.000000
497: 71437.000000 17837.000000 0.000000
498: 71637.000000 17837.000000 0.000000
499: 71837.000000 17837.000000 0.000000
500: 72037.000000 17837.000000 0.000000
501: -27963.000000 17637.000000 4.500000
502: -27763.000000 17637.000000 3.900000
503: -27563.000000 17637.000000 3.500000
504: -27363.000000 17637.000000 3.100000
505: -27163.000000 17637.000000 2.700000
506: -26963.000000 17637.000000 2.500000
507: -26763.000000 17637.000000 2.200000
508: -26563.000000 17637.000000 2.000000
509: -26363.000000 17637.000000 1.900000
510: -26163.000000 17637.000000 1.800000
511: -25963.000000 17637.000000 1.700000
512: -25763.000000 17637.000000 1.700000
513: -25563.000000 17637.000000 1.600000
514: -25363.000000 17637.000000 1.700000
515: -25163.000000 17637.000000 1.700000
516: -24963.000000 17637.000000 1.800000
517: -24763.000000 17637.000000 2.000000
518: -24563.000000 17637.000000 2.100000
519: -24363.000000 17637.000000 2.400000
520: -24163.000000 17637.000000 2.600000
521: -23963.000000 17637.000000 2.900000
522: -23763.000000 17637.000000 3.200000
523: -23563.000000 17637.000000 3.500000
524: -23363.000000 17637.000000 3.900000
525: -23163.000000 17637.000000 4.300000
526: -22963.000000 17637.000000 4.700000
527: -22763.000000 17637.000000 5.200000
528: -22563.000000 17637.000000 5.700000
529: -22363.000000 17637.000000 6.300000
530: -22163.000000 17637.000000 6.900000
531: -21963.000000 17637.000000 7.500000
532: -21763.000000 17637.000000 8.200000
533: -21563.000000 17637.000000 8.900000
534: -21363.000000 17637.000000 9.700000
535: -21163.000000 17637.000000 10.400000
536: -20963.000000 17637.000000 11.300000
537: -20763.000000 17637.000000 12.200000
538: -20563.000000 17637.000000 13.100000
539: -20363.000000 17637.000000 14.000000
540: -20163.000000 17637.000000 15.000000
541: -19963.000000 17637.000000 16.100000
542: -19763.000000 17637.000000 17.100000
543: -19563.000000 17637.000000 18.300000
544: -19363.000000 17637.000000 19.400000
545: -19163.000000 17637.000000 20.700000
546: -18963.000000 17637.000000 21.900000
547: -18763.000000 17637.000000 23.200000
548: -18563.000000 17637.000000 24.600000
549: -18363.000000 17637.000000 25.900000
550: -18163.000000 17637.000000 27.400000
551: -17963.000000 17637.000000 28.900000
552: -17763.000000 17637.000000 30.400000
553: -17563.000000 17637.000000 31.900000
554: -17363.000000 17637.000000 33.500000
555: -17163.000000 17637.000000 35.200000
556: -16963.000000 17637.000000 36.800000
557: -16763.000000 17637.000000 38.600000
558: -16563.000000 17637.000000 40.300000
559: -16363.000000 17637.000000 42.100000
560: -16163.000000 17637.000000 44.000000
561: -15963.000000 17637.000000 45.800000
562: -15763.000000 17637.000000 47.700000
563: -15563.000000 17637.000000 49.600000
564: -15363.000000 17637.000000 51.600000
565: -15163.000000 17637.000000 53.600000
566: -14963.000000 17637.000000 55.600000
567: -14763.000000 17637.000000 57.600000
568: -14563.000000 17637.000000 59.700000
569: -14363.000000 17637.000000 61.700000
570: -14163.000000 17637.000000 63.800000
571: -13963.000000 17637.000000 65.900000
572: -13763.000000 17637.000000 68.000000
573: -13563.000000 17637.000000 70.100000
574: -13363.000000 17637.000000 72.300000
575: -13163.000000 17637.000000 74.400000
576: -12963.000000 17637.000000 76.500000
577: -12763.000000 17637.000000 78.600000
578: -12563.000000 17637.000000 80.700000
579: -12363.000000 17637.000000 82.800000
580: -12163.000000 17637.000000 84.800000
581: -11963.000000 17637.000000 86.900000
582: -11763.000000 17637.000000 88.900000
583: -11563.000000 17637.000000 90.900000
584: -11363.000000 17637.000000 92.900000
585: -11163.000000 17637.000000 94.800000
586: -10963.000000 17637.000000 96.700000
