x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
736000	3516000	0	60245.6	5.7088e-04	100.0000	3.0113	4.4247e-07	5.5486e-06	5.6489e-04	1.1468e-17	1.4652e-15	4.2961e-16	5.3621e-19	9.2639e-23	1.7688e-28	8.8838e-37
737000	3516000	0	61209.6	5.2098e-04	100.0000	3.0116	4.4466e-07	5.1373e-06	5.1540e-04	1.8198e-18	2.2146e-16	6.1273e-17	6.6515e-20	9.9737e-24	1.5499e-29	5.7930e-38
738000	3516000	0	62174.6	4.7262e-04	100.0000	3.0120	4.4651e-07	4.7665e-06	4.6741e-04	2.7730e-19	3.1875e-17	8.2785e-18	7.7706e-21	1.0082e-24	1.2722e-30	3.5317e-39
739000	3516000	0	63140.8	4.2644e-04	100.0000	3.0125	4.4803e-07	4.4318e-06	4.2156e-04	4.0580e-20	4.3698e-18	1.0596e-18	8.5497e-22	9.5694e-26	9.7808e-32	2.0128e-40
740000	3516000	0	64108.0	3.8287e-04	100.0000	3.0131	4.4922e-07	4.1291e-06	3.7829e-04	5.7031e-21	5.7067e-19	1.2850e-19	8.8596e-23	8.5282e-27	7.0434e-33	1.0707e-41
741000	3516000	0	65076.2	3.4224e-04	100.0000	3.0139	4.5009e-07	3.8550e-06	3.3794e-04	7.6975e-22	7.1009e-20	1.4764e-20	8.6466e-24	7.1363e-28	4.7510e-34	5.1988e-43
742000	3516000	0	66045.3	3.0472e-04	100.0000	3.0148	4.5062e-07	3.6065e-06	3.0067e-04	9.9780e-23	8.4207e-21	1.6074e-21	7.9479e-25	5.6069e-29	3.0017e-35	0.0000e+00
743000	3516000	0	67015.3	2.7039e-04	100.0000	3.0158	4.5084e-07	3.3810e-06	2.6656e-04	1.2422e-23	9.5189e-22	1.6584e-22	6.8808e-26	4.1364e-30	1.7764e-36	0.0000e+00
744000	3516000	0	67986.2	2.3921e-04	100.0000	3.0170	4.5073e-07	3.1763e-06	2.3558e-04	1.4854e-24	1.0260e-22	1.6214e-23	5.6106e-27	2.8652e-31	9.8465e-38	0.0000e+00
745000	3516000	0	68958.0	2.1110e-04	100.0000	3.0184	4.5032e-07	2.9902e-06	2.0766e-04	1.7060e-25	1.0547e-23	1.5023e-24	4.3089e-28	1.8635e-32	5.1123e-39	0.0000e+00
