i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
943	1315483.5634	-1132105.5738	1993446.5634	2400057.4262	275984985431.8572	1.8843e+04
944	1315575.1664	-1132145.6849	1993538.1664	2400017.3151	275984985431.8572	1.8836e+04
945	1315666.7693	-1132185.7960	1993629.7693	2399977.2040	275984985431.8572	1.8829e+04
946	1315758.3723	-1132225.9071	1993721.3723	2399937.0929	275984985431.8572	1.8822e+04
947	1315849.9752	-1132266.0182	1993812.9752	2399896.9818	275984985431.8572	1.8815e+04
948	1315941.5781	-1132306.1293	1993904.5781	2399856.8707	275984985431.8572	1.8808e+04
949	1316033.1811	-1132346.2405	1993996.1811	2399816.7595	275984985431.8572	1.8801e+04
950	1316124.7840	-1132386.3516	1994087.7840	2399776.6484	275984985431.8572	1.8794e+04
951	1316216.3870	-1132426.4627	1994179.3870	2399736.5373	275984985431.8572	1.8787e+04
952	1316307.9899	-1132466.5738	1994270.9899	2399696.4262	275984985431.8572	1.8780e+04
953	1316399.5929	-1132506.6849	1994362.5929	2399656.3151	275984985431.8572	1.8773e+04
954	1316491.1958	-1132546.7960	1994454.1958	2399616.2040	275984985431.8572	1.8766e+04
955	1316582.7987	-1132586.9071	1994545.7987	2399576.0929	275984985431.8572	1.8759e+04
956	1316674.4017	-1132627.0182	1994637.4017	2399535.9818	275984985431.8572	1.8752e+04
957	1316766.0046	-1132667.1293	1994729.0046	2399495.8707	275984985431.8572	1.8745e+04
958	1316857.6076	-1132707.2404	1994820.6076	2399455.7596	275984985431.8572	1.8739e+04
959	1316949.2105	-1132747.3515	1994912.2105	2399415.6485	275984985431.8572	1.8732e+04
960	1317040.8134	-1132787.4626	1995003.8134	2399375.5374	275984985431.8572	1.8725e+04
961	1317132.4164	-1132827.5738	1995095.4164	2399335.4262	275984985431.8572	1.8718e+04
962	1317224.0193	-1132867.6849	1995187.0193	2399295.3151	275984985431.8572	1.8711e+04
963	1317315.6223	-1132907.7960	1995278.6223	2399255.2040	275984985431.8572	1.8704e+04
964	1317407.2252	-1132947.9071	1995370.2252	2399215.0929	275984985431.8572	1.8697e+04
965	1317498.8282	-1132988.0182	1995461.8282	2399174.9818	275984985431.8572	1.8690e+04
966	1317590.4311	-1133028.1293	1995553.4311	2399134.8707	275984985431.8572	1.8683e+04
967	1317682.0340	-1133068.2404	1995645.0340	2399094.7596	275984985431.8572	1.8676e+04
968	1317773.6370	-1133108.3515	1995736.6370	2399054.6485	275984985431.8572	1.8669e+04
969	1317865.2399	-1133148.4626	1995828.2399	2399014.5374	275984985431.8572	1.8662e+04
970	1317956.8429	-1133188.5737	1995919.8429	2398974.4263	275984985431.8572	1.8656e+04
971	1318048.4458	-1133228.6848	1996011.4458	2398934.3152	275984985431.8572	1.8649e+04
972	1318140.0487	-1133268.7959	1996103.0487	2398894.2041	275984985431.8572	1.8642e+04
973	1318231.6517	-1133308.9071	1996194.6517	2398854.0929	275984985431.8572	1.8635e+04
974	1318323.2546	-1133349.0182	1996286.2546	2398813.9818	275984985431.8572	1.8628e+04
975	1318414.8576	-1133389.1293	1996377.8576	2398773.8707	275984985431.8572	1.8621e+04
976	1318506.4605	-1133429.2404	1996469.4605	2398733.7596	275984985431.8572	1.8614e+04
977	1318598.0635	-1133469.3515	1996561.0635	2398693.6485	275984985431.8572	1.8607e+04
978	1318689.6664	-1133509.4626	1996652.6664	2398653.5374	275984985431.8572	1.8600e+04
979	1318781.2693	-1133549.5737	1996744.2693	2398613.4263	275984985431.8572	1.8594e+04
980	1318872.8723	-1133589.6848	1996835.8723	2398573.3152	275984985431.8572	1.8587e+04
981	1318964.4752	-1133629.7959	1996927.4752	2398533.2041	275984985431.8572	1.8580e+04
982	1319056.0782	-1133669.9070	1997019.0782	2398493.0930	275984985431.8572	1.8573e+04
983	1319147.6811	-1133710.0181	1997110.6811	2398452.9819	275984985431.8572	1.8566e+04
984	1319239.2841	-1133750.1293	1997202.2841	2398412.8707	275984985431.8572	1.8559e+04
985	1319330.8870	-1133790.2404	1997293.8870	2398372.7596	275984985431.8572	1.8552e+04
986	1319422.4899	-1133830.3515	1997385.4899	2398332.6485	275984985431.8572	1.8546e+04
987	1319514.0929	-1133870.4626	1997477.0929	2398292.5374	275984985431.8572	1.8539e+04
988	1319605.6958	-1133910.5737	1997568.6958	2398252.4263	275984985431.8572	1.8532e+04
989	1319697.2988	-1133950.6848	1997660.2988	2398212.3152	275984985431.8572	1.8525e+04
990	1319788.9017	-1133990.7959	1997751.9017	2398172.2041	275984985431.8572	1.8518e+04
991	1319880.5046	-1134030.9070	1997843.5046	2398132.0930	275984985431.8572	1.8511e+04
992	1319972.1076	-1134071.0181	1997935.1076	2398091.9819	275984985431.8572	1.8505e+04
993	1320063.7105	-1134111.1292	1998026.7105	2398051.8708	275984985431.8572	1.8498e+04
994	1320155.3135	-1134151.2403	1998118.3135	2398011.7597	275984985431.8572	1.8491e+04
995	1320246.9164	-1134191.3514	1998209.9164	2397971.6486	275984985431.8572	1.8484e+04
996	1320338.5194	-1134231.4626	1998301.5194	2397931.5374	275984985431.8572	1.8477e+04
997	1320430.1223	-1134271.5737	1998393.1223	2397891.4263	275984985431.8572	1.8470e+04
998	1320521.7252	-1134311.6848	1998484.7252	2397851.3152	275984985431.8572	1.8464e+04
999	1320613.3282	-1134351.7959	1998576.3282	2397811.2041	275984985431.8572	1.8457e+04
