calc_step	x	y	z	R	time
367	2317.2700	-1727.6186	3239.3635	1786.3455	151.9295
368	2326.0141	-1731.8703	3241.7011	1788.8573	152.3717
369	2334.7620	-1736.1203	3244.0275	1791.3586	152.8139
370	2343.5136	-1740.3686	3246.3429	1793.8492	153.2560
371	2352.2690	-1744.6151	3248.6471	1796.3293	153.6980
372	2361.0282	-1748.8599	3250.9402	1798.7987	154.1401
373	2369.7911	-1753.1030	3253.2223	1801.2576	154.5821
374	2378.5577	-1757.3443	3255.4934	1803.7059	155.0240
375	2387.3280	-1761.5839	3257.7534	1806.1437	155.4659
376	2396.1020	-1765.8218	3260.0025	1808.5709	155.9078
377	2404.8795	-1770.0580	3262.2405	1810.9876	156.3496
378	2413.6607	-1774.2924	3264.4677	1813.3938	156.7913
379	2422.4455	-1778.5252	3266.6839	1815.7895	157.2331
380	2431.2339	-1782.7562	3268.8892	1818.1746	157.6748
381	2440.0257	-1786.9855	3271.0836	1820.5493	158.1164
382	2448.8211	-1791.2132	3273.2672	1822.9135	158.5580
383	2457.6200	-1795.4391	3275.4399	1825.2672	158.9995
384	2466.4224	-1799.6634	3277.6018	1827.6105	159.4410
385	2475.2282	-1803.8860	3279.7528	1829.9433	159.8825
386	2484.0375	-1808.1069	3281.8931	1832.2657	160.3239
387	2492.8502	-1812.3261	3284.0227	1834.5777	160.7652
388	2501.6662	-1816.5437	3286.1415	1836.8793	161.2066
389	2510.4856	-1820.7596	3288.2495	1839.1704	161.6478
390	2519.3084	-1824.9738	3290.3469	1841.4512	162.0891
391	2528.1345	-1829.1864	3292.4336	1843.7216	162.5302
392	2536.9639	-1833.3974	3294.5096	1845.9817	162.9714
393	2545.7966	-1837.6067	3296.5750	1848.2313	163.4124
394	2554.6325	-1841.8143	3298.6297	1850.4706	163.8535
395	2563.4717	-1846.0203	3300.6739	1852.6996	164.2945
396	2572.3141	-1850.2247	3302.7074	1854.9183	164.7354
397	2581.1596	-1854.4275	3304.7304	1857.1267	165.1763
398	2590.0084	-1858.6286	3306.7428	1859.3247	165.6171
399	2598.8603	-1862.8282	3308.7448	1861.5124	166.0579
