x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
702000	3513000	184	30740.8	3.7221e+00	99.2360	1.4463	1.5096e-06	9.2770e-04	5.6567e-03	1.6758e+00	2.0113e+00	2.8289e-02	1.4636e-04	5.6492e-07	3.6441e-10	2.4008e-14
703000	3513000	186	31528.9	3.5753e+00	99.1760	1.4484	1.5405e-06	8.5220e-04	3.9937e-03	1.6223e+00	1.9188e+00	2.9313e-02	1.4740e-04	5.2276e-07	2.8775e-10	1.4676e-14
704000	3513000	208	32328.7	3.3370e+00	99.1174	1.4518	1.5623e-06	7.7372e-04	3.0197e-03	1.5290e+00	1.7748e+00	2.9310e-02	1.4273e-04	4.6462e-07	2.1815e-10	8.6110e-15
705000	3513000	271	33139.4	3.0381e+00	99.0725	1.4587	1.6091e-06	6.7395e-04	2.2009e-03	1.4154e+00	1.5917e+00	2.8046e-02	1.3157e-04	3.9280e-07	1.5729e-10	4.8058e-15
706000	3513000	291	33960.2	2.6808e+00	99.0012	1.4566	1.6447e-06	6.0767e-04	1.9327e-03	1.2453e+00	1.4062e+00	2.6656e-02	1.2039e-04	3.2889e-07	1.1205e-10	2.6443e-15
707000	3513000	254	34790.3	2.2838e+00	98.8945	1.4451	1.6726e-06	6.0341e-04	2.0651e-03	1.0360e+00	1.2200e+00	2.5138e-02	1.0945e-04	2.7319e-07	7.9040e-11	1.4385e-15
708000	3513000	372	35629.2	1.9384e+00	98.8640	1.4492	1.7576e-06	4.4108e-04	1.1621e-03	8.8920e-01	1.0256e+00	2.1929e-02	9.0740e-05	2.0662e-07	5.0798e-11	7.1359e-16
709000	3513000	418	36476.2	1.5893e+00	98.7913	1.4422	1.8169e-06	3.8184e-04	1.0746e-03	7.1884e-01	8.4983e-01	1.9135e-02	7.5415e-05	1.5637e-07	3.2591e-11	3.5264e-16
710000	3513000	360	37330.8	1.2454e+00	98.6536	1.4221	1.8199e-06	3.9255e-04	1.3286e-03	5.3875e-01	6.8820e-01	1.6705e-02	6.3108e-05	1.1914e-07	2.1023e-11	1.7503e-16
711000	3513000	475	38192.5	9.8768e-01	98.6160	1.4189	1.9170e-06	2.6498e-04	9.6991e-04	4.2476e-01	5.4801e-01	1.3620e-02	4.8427e-05	8.2895e-08	1.2366e-11	7.9129e-17
