massloading(kg/m2)	area(sqkm)	sqrtA(km)	dist_from_vent(m)	x(m)	y(m)	dir(deg)	Mean(phi)	F(percent)
1.2853e+01	52.6000	7.2526	13297.8321	9637.00	-9163.00	133.6	0.3597	44.4446
1.2799e+01	52.7600	7.2636	13307.9652	9837.00	-8963.00	132.3	0.3109	41.6669
1.2627e+01	53.6400	7.3239	13443.4794	9837.00	-9163.00	133.0	0.3495	43.7978
1.2515e+01	54.3600	7.3729	13456.4757	10037.00	-8963.00	131.8	0.3058	41.3130
1.2394e+01	54.9600	7.4135	13580.5868	9837.00	-9363.00	133.6	0.3937	46.3003
1.2383e+01	55.0800	7.4216	13590.5091	10037.00	-9163.00	132.4	0.3414	43.2769
1.2230e+01	55.7200	7.4646	13606.3051	10237.00	-8963.00	131.2	0.2947	40.5399
1.2179e+01	55.9200	7.4780	13726.1480	10037.00	-9363.00	133.0	0.3886	46.0132
1.2123e+01	56.1600	7.4940	13738.8769	10237.00	-9163.00	131.8	0.3359	42.9102
1.1974e+01	56.9200	7.5445	13873.0652	10237.00	-9363.00	132.4	0.3755	45.1779
1.1859e+01	57.5200	7.5842	13888.5398	10437.00	-9163.00	131.3	0.3275	42.3331
1.1777e+01	57.8000	7.6026	14008.8236	10237.00	-9563.00	133.1	0.4180	47.6374
1.1742e+01	57.9200	7.6105	14021.2959	10437.00	-9363.00	131.9	0.3682	44.7137
1.1583e+01	59.0400	7.6837	14155.6327	10437.00	-9563.00	132.5	0.4094	47.1229
1.1500e+01	59.5600	7.7175	14170.7988	10637.00	-9363.00	131.4	0.3609	44.2228
1.1392e+01	59.9600	7.7434	14291.5058	10437.00	-9763.00	133.1	0.4474	49.3073
1.1377e+01	60.0800	7.7511	14303.7316	10637.00	-9563.00	132.0	0.4003	46.5510
1.1246e+01	60.7200	7.7923	14321.5341	10837.00	-9363.00	130.8	0.3559	43.8800
1.1214e+01	60.8000	7.7974	14438.2110	10637.00	-9763.00	132.5	0.4399	48.8861
1.1154e+01	61.2800	7.8282	14453.0806	10837.00	-9563.00	131.4	0.3937	46.1290
1.1024e+01	61.9200	7.8689	14586.1831	10837.00	-9763.00	132.0	0.4323	48.4381
1.0923e+01	62.5600	7.9095	14603.6413	11037.00	-9563.00	130.9	0.3903	45.9246
1.0857e+01	62.9200	7.9322	14720.7995	10837.00	-9963.00	132.6	0.4712	50.7497
1.0822e+01	63.1600	7.9473	14735.3839	11037.00	-9763.00	131.5	0.4270	48.1313
1.0685e+01	63.9600	7.9975	14868.6495	11037.00	-9963.00	132.1	0.4646	50.3900
1.0610e+01	64.5600	8.0349	14885.7764	11237.00	-9763.00	131.0	0.4255	48.0885
1.0511e+01	65.1600	8.0722	15003.3975	11037.00	-10163.00	132.6	0.5053	52.8670
1.0502e+01	65.2400	8.0771	15017.7075	11237.00	-9963.00	131.6	0.4594	50.1225
1.0389e+01	65.9600	8.1216	15037.3248	11437.00	-9763.00	130.5	0.4186	47.6363
1.0359e+01	66.1200	8.1314	15151.1299	11237.00	-10163.00	132.1	0.4983	52.5111
1.0308e+01	66.4400	8.1511	15167.9378	11437.00	-9963.00	131.1	0.4546	49.8605
1.0194e+01	67.2000	8.1976	15300.0503	11437.00	-10163.00	131.6	0.4921	52.1885
1.0106e+01	68.0000	8.2462	15319.3061	11637.00	-9963.00	130.6	0.4510	49.6810
1.0046e+01	68.4000	8.2704	15433.6236	11437.00	-10363.00	132.2	0.5305	54.5626
1.0018e+01	68.6000	8.2825	15450.1242	11637.00	-10163.00	131.1	0.4869	51.9234
9.8998e+00	69.5600	8.3403	15471.7788	11837.00	-9963.00	130.1	0.4506	49.7213
9.8987e+00	69.6000	8.3427	15582.4112	11637.00	-10363.00	131.7	0.5241	54.2520
9.8338e+00	69.9600	8.3642	15601.3185	11837.00	-10163.00	130.6	0.4835	51.7790
9.7438e+00	70.4000	8.3905	15716.1299	11637.00	-10563.00	132.2	0.5645	56.7877
9.7396e+00	70.4400	8.3929	15732.3342	11837.00	-10363.00	131.2	0.5192	54.0338
9.6411e+00	71.2800	8.4427	15753.6008	12037.00	-10163.00	130.2	0.4809	51.6820
9.6150e+00	71.4400	8.4522	15864.7893	11837.00	-10563.00	131.7	0.5563	56.3749
9.5714e+00	71.8000	8.4735	15883.3604	12037.00	-10363.00	130.7	0.5157	53.9109
9.4719e+00	72.6000	8.5206	16014.5664	12037.00	-10563.00	131.3	0.5518	56.2143
9.3949e+00	73.4400	8.5697	16035.4588	12237.00	-10363.00	130.3	0.5132	53.8458
9.3426e+00	73.8000	8.5907	16147.1836	12037.00	-10763.00	131.8	0.5876	58.4748
9.3191e+00	73.9200	8.5977	16165.4303	12237.00	-10563.00	130.8	0.5480	56.0930
9.2148e+00	74.7200	8.6441	16296.8199	12237.00	-10763.00	131.3	0.5854	58.5217
9.1573e+00	75.2800	8.6764	16317.3508	12437.00	-10563.00	130.3	0.5450	56.0155
9.0784e+00	75.6400	8.6971	16429.5934	12237.00	-10963.00	131.9	0.6227	60.8935
9.0780e+00	75.6800	8.6994	16447.5268	12437.00	-10763.00	130.9	0.5814	58.4127
8.9884e+00	76.5600	8.7499	16470.2987	12637.00	-10563.00	129.9	0.5434	56.0323
8.9663e+00	76.6400	8.7544	16579.0934	12437.00	-10963.00	131.4	0.6185	60.8116
8.9290e+00	77.0000	8.7750	16599.2752	12637.00	-10763.00	130.4	0.5769	58.2322
8.8438e+00	77.9600	8.8295	16729.6485	12637.00	-10963.00	130.9	0.6124	60.5705
8.7743e+00	78.7600	8.8747	16752.0368	12837.00	-10763.00	130.0	0.5751	58.2602
8.7283e+00	79.1600	8.8972	16861.3860	12637.00	-11163.00	131.5	0.6488	62.9264
8.7119e+00	79.2800	8.9039	16881.2303	12837.00	-10963.00	130.5	0.6101	60.5972
8.6192e+00	79.9200	8.9398	17011.7941	12837.00	-11163.00	131.0	0.6456	62.9272
8.5677e+00	80.6400	8.9800	17033.8116	13037.00	-10963.00	130.1	0.6063	60.4884
8.5013e+00	81.2000	9.0111	17163.2147	13037.00	-11163.00	130.6	0.6429	62.9542
8.4188e+00	82.1200	9.0620	17187.3657	13237.00	-10963.00	129.6	0.6052	60.5793
8.4022e+00	82.4000	9.0774	17293.9625	13037.00	-11363.00	131.1	0.6745	64.9861
8.3679e+00	82.5600	9.0863	17315.6212	13237.00	-11163.00	130.1	0.6367	62.6852
8.2949e+00	83.3200	9.1280	17445.2268	13237.00	-11363.00	130.6	0.6707	64.9496
8.2317e+00	84.2800	9.1804	17468.9879	13437.00	-11163.00	129.7	0.6356	62.7979
8.1934e+00	84.5600	9.1957	17576.1525	13237.00	-11563.00	131.1	0.7038	67.0960
8.1768e+00	84.8400	9.2109	17597.4640	13437.00	-11363.00	130.2	0.6675	64.9341
8.0983e+00	85.4000	9.2412	17727.2654	13437.00	-11563.00	130.7	0.7013	67.1745
8.0507e+00	86.0800	9.2779	17750.6489	13637.00	-11363.00	129.8	0.6654	64.9859
7.9921e+00	86.6400	9.3081	17858.3633	13437.00	-11763.00	131.2	0.7315	69.0936
7.9890e+00	86.6800	9.3102	17879.3383	13637.00	-11563.00	130.3	0.6958	67.0015
7.9187e+00	87.2400	9.3402	17904.7574	13837.00	-11363.00	129.4	0.6647	65.1390
7.9064e+00	87.3200	9.3445	18009.3292	13637.00	-11763.00	130.8	0.7283	69.1384
7.8754e+00	87.8400	9.3723	18032.3470	13837.00	-11563.00	129.9	0.6944	67.1278
7.8089e+00	88.6800	9.4170	18161.2427	13837.00	-11763.00	130.4	0.7242	69.0943
7.7541e+00	89.6000	9.4657	18186.2678	14037.00	-11563.00	129.5	0.6935	67.2810
7.7223e+00	89.8800	9.4805	18291.4171	13837.00	-11963.00	130.8	0.7562	71.1731
7.7062e+00	90.1200	9.4932	18314.0803	14037.00	-11763.00	130.0	0.7228	69.2391
7.6346e+00	90.7200	9.5247	18443.1759	14037.00	-11963.00	130.4	0.7518	71.1229
7.5949e+00	91.3600	9.5582	18467.8190	14237.00	-11763.00	129.6	0.7216	69.3850
7.5411e+00	92.0000	9.5917	18595.8473	14237.00	-11963.00	130.0	0.7500	71.2525
7.4770e+00	92.8400	9.6354	18622.4364	14437.00	-11763.00	129.2	0.7212	69.5781
7.4654e+00	92.9600	9.6416	18725.1365	14237.00	-12163.00	130.5	0.7783	73.0692
7.4401e+00	93.0800	9.6478	18749.4090	14437.00	-11963.00	129.6	0.7489	71.4195
7.3816e+00	93.8000	9.6850	18877.6465	14437.00	-12163.00	130.1	0.7766	73.2218
7.3327e+00	94.7200	9.7324	18903.8392	14637.00	-11963.00	129.3	0.7485	71.6334
7.3018e+00	95.2400	9.7591	19007.1233	14437.00	-12363.00	130.6	0.8042	74.9631
7.2903e+00	95.3200	9.7632	19031.0362	14637.00	-12163.00	129.7	0.7755	73.4047
7.2265e+00	96.0800	9.8020	19159.4765	14637.00	-12363.00	130.2	0.8023	75.1134
7.1915e+00	96.6400	9.8306	19185.2844	14837.00	-12163.00	129.3	0.7748	73.5992
7.1443e+00	97.4400	9.8712	19289.1352	14637.00	-12563.00	130.6	0.8300	76.8404
7.1433e+00	97.4800	9.8732	19312.6989	14837.00	-12363.00	129.8	0.8008	75.2742
7.0854e+00	98.2000	9.9096	19340.3707	15037.00	-12163.00	129.0	0.7744	73.8076
7.0777e+00	98.3200	9.9156	19441.3358	14837.00	-12563.00	130.3	0.8281	76.9971
7.0528e+00	98.5200	9.9257	19466.7701	15037.00	-12363.00	129.4	0.7998	75.4593
7.0020e+00	98.9200	9.9459	19594.3956	15037.00	-12563.00	129.9	0.8260	77.1236
6.9542e+00	99.8800	9.9940	19621.6701	15237.00	-12363.00	129.1	0.7989	75.6388
6.9330e+00	100.2000	10.0100	19723.2233	15037.00	-12763.00	130.3	0.8531	78.8029
6.9204e+00	100.6000	10.0300	19748.2946	15237.00	-12563.00	129.5	0.8250	77.3180
6.8664e+00	101.4800	10.0737	19876.1248	15237.00	-12763.00	130.0	0.8512	78.9545
6.8320e+00	101.9200	10.0955	19903.0133	15437.00	-12563.00	129.1	0.8244	77.5291
6.7914e+00	102.6800	10.1331	20029.8562	15437.00	-12763.00	129.6	0.8494	79.0950
6.7363e+00	103.4800	10.1725	20058.5328	15637.00	-12563.00	128.8	0.8241	77.7411
