s	phi0.0	phi-0.1	phi-0.2	phi-0.3	phi-0.4	phi-0.5	phi-0.6	phi-0.7	phi-0.8	phi-0.9
66	481024.5983	462040.8489	439308.9619	413234.7306	384329.6575	353196.3124	313960.5547	294530.9329	274827.3127	255045.8487
67	470352.7573	451063.2561	428131.9271	401976.8541	373118.8182	342165.8337	303295.8213	284179.6485	264834.1627	245451.1703
68	459917.6781	440346.4790	417239.2619	391025.6793	362234.9974	331479.8417	292993.3518	274192.1599	255204.3792	236217.4382
69	449714.1078	429884.3210	406623.7313	380372.8505	351668.6561	321127.5781	283040.8405	264555.6814	245924.7497	227331.0738
70	439736.9103	419670.7326	396278.2843	370010.2400	341410.5333	311098.6203	273426.3999	255257.8768	236982.5420	218779.0094
71	429981.0633	409699.8081	386196.0493	359929.9411	331451.6385	301382.8713	264138.5464	246286.8433	228365.4870	210548.6686
72	420441.6561	399965.7820	376370.3297	350124.2628	321783.2432	291970.5496	255166.1863	237631.0966	220061.7615	202627.9486
73	411113.8868	390463.0258	366794.5992	340585.7235	312396.8736	282852.1788	246498.6027	229279.5560	212059.9724	195005.2016
74	401993.0601	381186.0449	357462.4973	331307.0455	303284.3029	274018.5788	238125.4430	221221.5302	204349.1408	187669.2178
75	393074.5848	372129.4751	348367.8256	322281.1492	294437.5446	265460.8561	230036.7060	213446.7035	196918.6872	180609.2096
76	384353.9716	363288.0797	339504.5434	313501.1482	285848.8449	257170.3949	222222.7304	205945.1230	189758.4164	173814.7949
77	375826.8309	354656.7462	330866.7636	304960.3433	277510.6764	249138.8485	214674.1829	198707.1853	182858.5042	167275.9821
78	367488.8703	346230.4840	322448.7488	296652.2181	269415.7310	241358.1309	207382.0473	191723.6249	176209.4836	160983.1557
79	359335.8927	338004.4206	314244.9078	288570.4336	261556.9139	233820.4086	200337.6139	184985.5016	169802.2318	154927.0618
80	351363.7942	329973.7997	306249.7915	280708.8235	253927.3374	226518.0927	193532.4685	178484.1895	163627.9577	149098.7947
81	343568.5618	322133.9777	298458.0894	273061.3897	246520.3145	219443.8314	186958.4829	172211.3658	157678.1898	143489.7837
