source	x	y	z	R	time
299	26394.2732	-12305.7508	3518.8322	2108.7651	1152.0696
300	26485.8761	-12345.8619	3518.8322	2108.7651	1155.8075
301	26577.4791	-12385.9730	3518.8322	2108.7651	1159.5453
302	26669.0820	-12426.0841	3518.8322	2108.7651	1163.2832
303	26760.6849	-12466.1953	3518.8322	2108.7651	1167.0210
304	26852.2879	-12506.3064	3518.8322	2108.7651	1170.7589
305	26943.8908	-12546.4175	3518.8322	2108.7651	1174.4967
306	27035.4938	-12586.5286	3518.8322	2108.7651	1178.2346
307	27127.0967	-12626.6397	3518.8322	2108.7651	1181.9724
308	27218.6997	-12666.7508	3518.8322	2108.7651	1185.7103
309	27310.3026	-12706.8619	3518.8322	2108.7651	1189.4481
310	27401.9055	-12746.9730	3518.8322	2108.7651	1193.1860
311	27493.5085	-12787.0841	3518.8322	2108.7651	1196.9238
312	27585.1114	-12827.1952	3518.8322	2108.7651	1200.6617
313	27676.7144	-12867.3063	3518.8322	2108.7651	1204.3995
314	27768.3173	-12907.4175	3518.8322	2108.7651	1208.1374
315	27859.9202	-12947.5286	3518.8322	2108.7651	1211.8752
316	27951.5232	-12987.6397	3518.8322	2108.7651	1215.6131
317	28043.1261	-13027.7508	3518.8322	2108.7651	1219.3509
318	28134.7291	-13067.8619	3518.8322	2108.7651	1223.0888
319	28226.3320	-13107.9730	3518.8322	2108.7651	1226.8266
320	28317.9350	-13148.0841	3518.8322	2108.7651	1230.5645
321	28409.5379	-13188.1952	3518.8322	2108.7651	1234.3023
322	28501.1408	-13228.3063	3518.8322	2108.7651	1238.0402
323	28592.7438	-13268.4174	3518.8322	2108.7651	1241.7780
324	28684.3467	-13308.5285	3518.8322	2108.7651	1245.5159
325	28775.9497	-13348.6396	3518.8322	2108.7651	1249.2537
326	28867.5526	-13388.7508	3518.8322	2108.7651	1252.9916
327	28959.1556	-13428.8619	3518.8322	2108.7651	1256.7294
328	29050.7585	-13468.9730	3518.8322	2108.7651	1260.4673
329	29142.3614	-13509.0841	3518.8322	2108.7651	1264.2051
330	29233.9644	-13549.1952	3518.8322	2108.7651	1267.9430
331	29325.5673	-13589.3063	3518.8322	2108.7651	1271.6808
332	29417.1703	-13629.4174	3518.8322	2108.7651	1275.4187
333	29508.7732	-13669.5285	3518.8322	2108.7651	1279.1565
334	29600.3761	-13709.6396	3518.8322	2108.7651	1282.8944
335	29691.9791	-13749.7507	3518.8322	2108.7651	1286.6322
336	29783.5820	-13789.8618	3518.8322	2108.7651	1290.3701
337	29875.1850	-13829.9729	3518.8322	2108.7651	1294.1079
338	29966.7879	-13870.0841	3518.8322	2108.7651	1297.8458
339	30058.3909	-13910.1952	3518.8322	2108.7651	1301.5836
340	30149.9938	-13950.3063	3518.8322	2108.7651	1305.3215
341	30241.5967	-13990.4174	3518.8322	2108.7651	1309.0593
342	30333.1997	-14030.5285	3518.8322	2108.7651	1312.7972
343	30424.8026	-14070.6396	3518.8322	2108.7651	1316.5350
344	30516.4056	-14110.7507	3518.8322	2108.7651	1320.2729
345	30608.0085	-14150.8618	3518.8322	2108.7651	1324.0107
346	30699.6114	-14190.9729	3518.8322	2108.7651	1327.7486
347	30791.2144	-14231.0840	3518.8322	2108.7651	1331.4864
348	30882.8173	-14271.1951	3518.8322	2108.7651	1335.2243
349	30974.4203	-14311.3063	3518.8322	2108.7651	1338.9621
350	31066.0232	-14351.4174	3518.8322	2108.7651	1342.7000
351	31157.6262	-14391.5285	3518.8322	2108.7651	1346.4378
352	31249.2291	-14431.6396	3518.8322	2108.7651	1350.1757
353	31340.8320	-14471.7507	3518.8322	2108.7651	1353.9135
354	31432.4350	-14511.8618	3518.8322	2108.7651	1357.6514
355	31524.0379	-14551.9729	3518.8322	2108.7651	1361.3892
356	31615.6409	-14592.0840	3518.8322	2108.7651	1365.1271
357	31707.2438	-14632.1951	3518.8322	2108.7651	1368.8649
358	31798.8468	-14672.3062	3518.8322	2108.7651	1372.6028
359	31890.4497	-14712.4173	3518.8322	2108.7651	1376.3406
360	31982.0526	-14752.5284	3518.8322	2108.7651	1380.0785
361	32073.6556	-14792.6396	3518.8322	2108.7651	1383.8163
362	32165.2585	-14832.7507	3518.8322	2108.7651	1387.5542
363	32256.8615	-14872.8618	3518.8322	2108.7651	1391.2920
364	32348.4644	-14912.9729	3518.8322	2108.7651	1395.0299
365	32440.0673	-14953.0840	3518.8322	2108.7651	1398.7677
366	32531.6703	-14993.1951	3518.8322	2108.7651	1402.5056
367	32623.2732	-15033.3062	3518.8322	2108.7651	1406.2434
368	32714.8762	-15073.4173	3518.8322	2108.7651	1409.9813
